Colonna Sorgente,Colonna Target OMOP,Descrizione Target,Similarità
observation_1,gender_concept_id,Gender of the person,0.0
condition_2,observation_concept_id,Clinical observation or finding,0.0
condition_2,procedure_concept_id,Code identifying a medical procedure,0.0
condition_2,year_of_birth,Year the person was born,0.0
gender_concept_id_name,condition_concept_id,Code identifying a condition diagnosis,0.0
condition_2,race_concept_id,Race or ethnicity of the person,0.0
condition_2,gender_concept_id,Gender of the person,0.0
condition_1,observation_concept_id,Clinical observation or finding,0.0
condition_1,procedure_concept_id,Code identifying a medical procedure,0.0
condition_1,condition_concept_id,Code identifying a condition diagnosis,0.0
condition_1,year_of_birth,Year the person was born,0.0
condition_1,race_concept_id,Race or ethnicity of the person,0.0
condition_1,gender_concept_id,Gender of the person,0.0
observation_2,gender_concept_id,Gender of the person,0.0
observation_2,race_concept_id,Race or ethnicity of the person,0.0
observation_2,year_of_birth,Year the person was born,0.0
observation_2,condition_concept_id,Code identifying a condition diagnosis,0.0
gender_concept_id_name,year_of_birth,Year the person was born,0.0
gender_concept_id_name,race_concept_id,Race or ethnicity of the person,0.0
gender_concept_id_name,gender_concept_id,Gender of the person,0.0
procedure_2,observation_concept_id,Clinical observation or finding,0.0
procedure_2,procedure_concept_id,Code identifying a medical procedure,0.0
gender_concept_id,race_concept_id,Race or ethnicity of the person,0.0
procedure_2,year_of_birth,Year the person was born,0.0
procedure_2,race_concept_id,Race or ethnicity of the person,0.0
procedure_2,gender_concept_id,Gender of the person,0.0
procedure_1,observation_concept_id,Clinical observation or finding,0.0
procedure_1,procedure_concept_id,Code identifying a medical procedure,0.0
procedure_1,condition_concept_id,Code identifying a condition diagnosis,0.0
procedure_1,year_of_birth,Year the person was born,0.0
procedure_1,race_concept_id,Race or ethnicity of the person,0.0
procedure_1,gender_concept_id,Gender of the person,0.0
observation_2,observation_concept_id,Clinical observation or finding,0.0
observation_2,procedure_concept_id,Code identifying a medical procedure,0.0
procedure_2,condition_concept_id,Code identifying a condition diagnosis,0.0
